vehicle,time,event,px,py,pz,speed,desiredSpeed,maxSpeed,lane,pathId,intersectionId,distTravelled,pathLength,pathPct,decision,probability,motionState,signalState,maneuverState,isBlocked,isStuck,isInQueue,routeTrace
Car_2(Clone)_4302,22.36,FRAME,-1.75,0.02,-339.87,0.62,12.17,12.17,Lane_way s_3,Path_way s_3,way s,0.12,316.79,0.000,,,Cruising,Approaching,LaneKeeping,0,0,0,START
Taxi(Clone)_5327,22.37,FRAME,1.75,0.00,99.04,14.84,14.92,15.28,Lane_way n_2,Path_way n_2,way n,240.95,316.79,0.761,,,Cruising,Approaching,LaneKeeping,0,0,0,START>LC:Lane_way n_2
Car_3(Clone)_1086,22.37,FRAME,-188.33,-0.01,5.25,13.29,13.35,14.66,Lane_way w_4,Path_way w_4,way w,151.66,316.79,0.479,,,Cruising,Approaching,LaneKeeping,0,0,0,START>LC:Lane_way w_4
Car_6(Clone)_8350,22.37,COLLISION_RISK,,,,,,,,MiniBus_Ambulance(Clone)_4009,rear_left,,,,dist=23.7 closing=4.9,,,,,,,,START
Car_6(Clone)_8350,22.37,FRAME,-297.61,0.02,5.25,7.43,7.45,7.45,Lane_way w_4,Path_way w_4,way w,42.38,316.79,0.134,,,Cruising,Approaching,LaneKeeping,0,0,0,START
Car_2(Clone)_2008,22.37,STATE_MOTION,,,,,,,,Braking,,,,,,,,,,,,,START
Car_9(Clone)_2269,22.37,FRAME,-8.75,0.01,-339.99,0.16,11.65,11.65,Lane_way s_5,Path_way s_5,way s,0.00,316.79,0.000,,,Idle,Approaching,LaneKeeping,0,0,0,START
Jeep_2(Clone)_9985,22.39,FRAME,-5.25,0.01,-103.56,12.76,12.88,15.34,Lane_way s_4,Path_way s_4,way s,236.43,316.79,0.746,,,Cruising,Approaching,LaneKeeping,0,0,0,START>LC:Lane_way s_4
Car_7(Clone)_9820,22.39,FRAME,-5.25,-0.01,-122.79,12.54,15.82,19.44,Lane_way s_4,Path_way s_4,way s,217.20,316.79,0.686,,,Cruising,Approaching,LaneKeeping,0,0,0,START>LC:Lane_way s_4
Police_2(Clone)_7766,22.39,FRAME,265.10,0.00,-5.25,9.95,9.99,9.99,Lane_way e_1,Path_way e_1,way e,74.89,316.79,0.236,,,Cruising,Approaching,LaneKeeping,0,0,0,START
MiniBus_Ambulance(Clone)_2333,22.39,FRAME,289.62,0.00,-1.76,12.22,12.29,12.29,Lane_way e_2,Path_way e_2,way e,50.37,316.79,0.159,,,Cruising,Approaching,LaneChangeRight,0,0,0,START>LC:Lane_way e_2
Police_2(Clone)_9688,22.39,FRAME,-5.25,0.00,-330.38,10.82,12.78,13.80,Lane_way s_4,Path_way s_4,way s,9.61,316.79,0.030,,,Cruising,Approaching,LaneKeeping,0,0,0,START
